Timestamp,Instance,CPU (%),Memory (MB),Net Sent (Bytes),Net Recv (Bytes)
2024-06-19 01:00:08.730822,16814,0.0,328.5546875,0,0
2024-06-19 01:00:08.731071,16893,0.0,320.7265625,0,0
2024-06-19 01:00:09.231999,16814,0.0,328.8671875,12835,10992
2024-06-19 01:00:09.232199,16893,0.0,322.4453125,0,0
2024-06-19 01:00:09.733106,16814,0.0,328.8671875,13458,10224
2024-06-19 01:00:09.733307,16893,0.0,323.2265625,0,0
2024-06-19 01:00:10.234181,16814,0.0,329.0234375,12969,9460
2024-06-19 01:00:10.234376,16893,0.0,323.6953125,0,0
2024-06-19 01:00:10.735285,16814,0.0,329.4921875,13075,9154
2024-06-19 01:00:10.735485,16893,0.0,324.0078125,0,0
2024-06-19 01:00:11.235990,16814,0.0,329.6484375,12691,10004
2024-06-19 01:00:11.236197,16893,0.0,324.1640625,0,0
2024-06-19 01:00:11.737127,16814,0.0,329.6484375,12988,9972
2024-06-19 01:00:11.737329,16893,0.0,324.1640625,0,0
2024-06-19 01:00:12.238242,16814,0.0,329.6484375,13161,9738
2024-06-19 01:00:12.238513,16893,0.0,324.6328125,0,0
2024-06-19 01:00:12.739461,16814,0.0,329.8046875,12777,9430
2024-06-19 01:00:12.739707,16893,0.0,324.7890625,278,0
2024-06-19 01:00:13.240597,16814,0.0,329.8046875,13075,9438
2024-06-19 01:00:13.240820,16893,0.0,325.4140625,0,0
2024-06-19 01:00:13.741698,16814,0.0,329.9609375,12988,10080
2024-06-19 01:00:13.741896,16893,0.0,326.0390625,0,0
2024-06-19 01:00:14.242793,16814,0.0,330.1171875,13074,10252
2024-06-19 01:00:14.243000,16893,0.0,326.1953125,0,0
2024-06-19 01:00:14.743945,16814,0.0,330.2734375,12882,9758
2024-06-19 01:00:14.744158,16893,0.0,326.3515625,0,0
2024-06-19 01:00:15.245229,16814,0.0,330.2734375,12749,9638
2024-06-19 01:00:15.245513,16893,0.0,326.8203125,0,0
2024-06-19 01:00:15.746540,16814,0.0,330.4296875,13190,9792
2024-06-19 01:00:15.746824,16893,0.0,326.9765625,0,0
2024-06-19 01:00:16.248080,16814,0.0,330.5859375,13055,10068
2024-06-19 01:00:16.248289,16893,0.0,327.2890625,0,0
2024-06-19 01:00:16.749197,16814,0.0,330.8984375,12778,9472
2024-06-19 01:00:16.749405,16893,0.0,327.6015625,0,0
2024-06-19 01:00:17.250320,16814,0.0,331.2109375,12950,9618
2024-06-19 01:00:17.250536,16893,0.0,327.9140625,0,0
2024-06-19 01:00:17.751429,16814,0.0,331.2109375,12988,9702
2024-06-19 01:00:17.751677,16893,0.0,328.2265625,0,0
2024-06-19 01:00:18.252617,16814,0.0,331.5234375,12879,9944
2024-06-19 01:00:18.252909,16893,0.0,328.6953125,0,0
2024-06-19 01:00:18.753828,16814,0.0,331.8359375,12883,10080
2024-06-19 01:00:18.754026,16893,0.0,328.8515625,0,0
2024-06-19 01:00:19.254966,16814,0.0,331.9921875,12950,9842
2024-06-19 01:00:19.255182,16893,0.0,328.8515625,0,0
2024-06-19 01:00:19.755976,16814,0.0,331.9921875,12883,9936
2024-06-19 01:00:19.756192,16893,0.0,329.0078125,0,0
2024-06-19 01:00:20.257110,16814,0.0,332.1484375,13074,10266
2024-06-19 01:00:20.257315,16893,0.0,329.0078125,0,0
2024-06-19 01:00:20.758293,16814,0.0,332.1484375,12759,9756
2024-06-19 01:00:20.758496,16893,0.0,329.1640625,0,0
2024-06-19 01:00:21.259407,16814,0.0,332.1484375,13075,10088
2024-06-19 01:00:21.259634,16893,0.0,329.4765625,0,0
2024-06-19 01:00:21.760547,16814,0.0,332.3046875,12760,9302
2024-06-19 01:00:21.760742,16893,0.0,329.4765625,0,0
2024-06-19 01:00:22.261664,16814,0.0,332.6171875,13074,9746
2024-06-19 01:00:22.261873,16893,0.0,329.6328125,0,0
2024-06-19 01:00:22.762806,16814,0.0,332.7734375,12882,9902
2024-06-19 01:00:22.763009,16893,0.0,329.6328125,0,0
2024-06-19 01:00:23.264056,16814,0.0,332.7734375,13266,9424
2024-06-19 01:00:23.264287,16893,0.0,329.6328125,0,0
2024-06-19 01:00:23.765232,16814,0.0,332.9296875,12969,10048
2024-06-19 01:00:23.765543,16893,0.0,329.9453125,0,0
2024-06-19 01:00:24.266432,16814,0.0,332.9296875,12988,9356
2024-06-19 01:00:24.266625,16893,0.0,330.1015625,0,0
2024-06-19 01:00:24.767585,16814,0.0,333.0859375,13074,10154
2024-06-19 01:00:24.767808,16893,0.0,330.1015625,0,0
2024-06-19 01:00:25.268710,16814,0.0,333.0859375,12965,9876
2024-06-19 01:00:25.268903,16893,0.0,330.1015625,0,0
2024-06-19 01:00:25.769873,16814,0.0,333.0859375,12988,9596
2024-06-19 01:00:25.770065,16893,0.0,330.2578125,0,0
2024-06-19 01:00:26.270926,16814,0.0,333.0859375,13056,9452
2024-06-19 01:00:26.271125,16893,0.0,330.4140625,0,0
2024-06-19 01:00:26.772078,16814,0.0,333.0859375,12777,9944
2024-06-19 01:00:26.772403,16893,0.0,330.4140625,0,0
2024-06-19 01:00:27.273429,16814,0.0,333.0859375,12957,9814
2024-06-19 01:00:27.273838,16893,0.0,330.4140625,0,0
2024-06-19 01:00:27.774852,16814,0.0,333.0859375,12481,9176
2024-06-19 01:00:27.775048,16893,0.0,330.4140625,0,0
2024-06-19 01:00:28.276084,16814,0.0,333.0859375,13074,10342
2024-06-19 01:00:28.276295,16893,0.0,330.4140625,192,0
