Timestamp,FrameVerified,FramePredicted,PredictedFrames,Ping,UpdateTime(ms),InputOffset,ResimulatedFrames,SimulationState,NetworkIn(bytes/s),NetworkOut(bytes/s)
6/19/2024 2:18:37 AM,131,131,0,27,0.08,0,0,Running,
6/19/2024 2:18:38 AM,192,192,0,27,0.1,0,0,Running,5884,8299
6/19/2024 2:18:39 AM,252,252,0,26,0.07,0,0,Running,5820,8312
6/19/2024 2:18:40 AM,313,313,0,26,0.07,0,0,Running,5829,8268
6/19/2024 2:18:41 AM,374,374,0,25,3.25,0,0,Running,5808,8280
6/19/2024 2:18:42 AM,434,434,0,24,3.15,0,0,Running,5793,8273
6/19/2024 2:18:43 AM,494,494,0,26,0.1,0,0,Running,5787,8260
6/19/2024 2:18:44 AM,555,555,0,25,0.07,0,0,Running,5786,8267
6/19/2024 2:18:45 AM,616,616,0,24,3.37,0,0,Running,5794,8276
6/19/2024 2:18:46 AM,676,676,0,26,3.32,0,0,Running,5783,8268
6/19/2024 2:18:47 AM,737,737,0,25,5.59,0,0,Running,5800,8267
6/19/2024 2:18:48 AM,797,797,0,25,3.32,0,0,Running,5786,8276
6/19/2024 2:18:49 AM,857,857,0,24,0,0,0,Running,5790,8264
6/19/2024 2:18:50 AM,918,918,0,25,0.08,0,0,Running,5784,8270
6/19/2024 2:18:51 AM,978,978,0,25,0.08,0,0,Running,5781,8274
6/19/2024 2:18:52 AM,1039,1039,0,24,3.18,0,0,Running,5787,8272
6/19/2024 2:18:53 AM,1099,1099,0,26,0.07,0,0,Running,5777,8277
6/19/2024 2:18:54 AM,1159,1159,0,26,0.06,0,0,Running,5773,8273
6/19/2024 2:18:55 AM,1220,1220,0,26,0.08,0,0,Running,5773,8278
6/19/2024 2:18:56 AM,1281,1281,0,26,0.07,0,0,Running,5776,8272
6/19/2024 2:18:57 AM,1341,1341,0,25,0.03,0,0,Running,5772,8277
6/19/2024 2:18:58 AM,1402,1402,0,25,3.37,0,0,Running,5778,8270
6/19/2024 2:18:59 AM,1462,1462,0,25,0.07,0,0,Running,5790,8274
6/19/2024 2:19:00 AM,1523,1523,0,23,0.06,0,0,Running,5796,8272
6/19/2024 2:19:01 AM,1583,1583,0,25,0.08,0,0,Running,5801,8276
6/19/2024 2:19:02 AM,1644,1644,0,26,0,0,0,Running,5799,8272
6/19/2024 2:19:03 AM,1704,1704,0,25,0.07,0,0,Running,5794,8276
6/19/2024 2:19:04 AM,1764,1764,0,25,0.08,0,0,Running,5793,8274
